village,population_2010,latitude,longitude,type,adm_center,district,region,language,dialect
Большая Пучкома,153,64.0701553,46.9045108,село,Большая Пучкома,Удорский район,Республика Коми,Komi-Zyrian,Udora
Большая Пысса,NA,64.1665162,48.8276973,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Большая Слуда,89,62.009879,50.5731371,деревня,Часово,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Большая Сойва,50,62.6552304,56.070435,деревня,Троицко-Печорск,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Большелуг,680,62.1326637,52.5011919,село,Большелуг,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Большие Чирки,6,63.8805814,47.3168414,деревня,Важгорт,Удорский район,Республика Коми,Komi-Zyrian,Udora
Большое Галово,271,65.2819379,53.110885,деревня,Кельчиюр,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Большое Острово,NA,64.0479279,46.9821017,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Бор,15,60.6525141,49.2111126,деревня,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,Luza-Letka
Бор,15,65.5037055,51.9838547,деревня,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Борово,6,63.5352003,49.5240754,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Боровой,1560,63.2306768,52.8949171,пгт,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Боровская,77,65.2438297,51.8620619,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Бортом,327,60.915085,50.2028791,посёлок,Гагшор,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Брыкаланск,585,65.4758318,54.2727947,село,Брыкаланск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Буткан,306,63.363558,49.0947584,село,Буткан,Удорский район,Республика Коми,Komi-Zyrian,Udora
Бызовая,122,65.0176757,57.3761318,деревня,Озёрный,Печора,Республика Коми,Komi-Zyrian,Iźva
Бык,0,65.7547382,52.2408604,деревня,Хабариха,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Вавиловка,5,59.2887645,49.6552747,деревня,Прокопьевка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Вад,23,61.586924,54.9836759,посёлок,Югыдъяг,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Важ Эжва,4,61.6318082,54.9177144,посёлок,Югыдъяг,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Важгорт,512,64.0125889,47.0477049,село,Важгорт,Удорский район,Республика Коми,Komi-Zyrian,Udora
Важкуръя,258,61.8606911,51.9165773,деревня,Приозёрный,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ваньпи,1,63.2832353,56.3229817,деревня,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Варыш,399,65.0360108,53.836706,деревня,Сизябск,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Васильевка,9,65.354317,52.8474048,деревня,Кельчиюр,Ижемский район,Республика Коми,Komi-Zyrian,NA
Васькино,89,65.8617156,55.1412382,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Вежайка,598,62.5628907,49.7371722,посёлок,Вежайка,Усть-Вымский район,Республика Коми,Komi-Zyrian,NA
Вежъю,325,60.6499685,51.1445301,посёлок,Ужга,Койгородский район,Республика Коми,Komi-Zyrian,NA
Вёздино,157,62.162384,49.8736278,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Векшор,25,60.5392725,49.4412809,деревня,Читаево,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Великополье,181,62.0477844,54.3208736,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Вендинга,NA,63.4646991,47.9403933,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Вертеп,600,65.298699,53.205124,деревня,Краснобор,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Верхнее Бугаево,85,65.9426841,52.4627485,деревня,Среднее Бугаево,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Верхнеижемский,852,63.0016123,54.6904988,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,NA
Верхнеколвинск,0,66.669939,56.9929715,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,NA
Верхнемезенск,0,64.1621465,49.5112409,посёлок,пгт Усогорск,Удорский район,Республика Коми,Komi-Zyrian,NA
Верхний Воч,206,61.1380327,54.1892208,деревня,Нижний Воч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Верхний Выльыб,59,63.4901431,49.4566345,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Верхний Мыртыю,86,61.5497566,50.909473,посёлок,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Верхняя Инта,1106,65.9884022,60.3234429,пгт,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Верхняя Омра,39,62.8037697,55.4373026,посёлок,Войвож,Сосногорск,Республика Коми,Komi-Zyrian,NA
Верхняя Отла,28,62.7430402,50.615818,деревня,Шошка,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Верхняя Пёша,NA,66.6102092,47.9585033,NA,NA,Заполярный район,Ненецкий автономный округ,Komi-Zyrian,NA
Верховская,0,64.9238734,51.6929166,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Верхозерье,0,64.1365064,46.7610019,деревня,Чупрово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Верхолузье,122,59.90289,48.7007866,село,Верхолузье,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Веселовка,181,61.4713575,51.5870828,посёлок,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Весёлый Кут,55,63.475335,53.1377975,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Весляна,24,62.9974398,50.8901507,деревня,Ветью,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Ветью,141,62.946313,50.7909453,посёлок,Ветью,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Визинга,6810,61.0740806,50.0771491,село,Визинга,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Визиндор,452,60.9692145,49.6879045,посёлок,Визиндор,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Визябож,127,61.7511709,51.251220000000004,деревня,Додзь,Корткеросский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Визябож,127,61.7445074,51.21557,деревня,Додзь,Корткеросский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Винла,77,63.9841911,53.6105556,деревня,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Вис,370,63.9097168,54.4487515,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,NA
Вогваздино,133,62.1988905,50.4385512,деревня,Студенец,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Водный,6382,63.5050301,53.4080731,пгт,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Вожаёль,135,62.8450318,51.330762,посёлок,Тракт,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Вожский,2159,62.8263704,49.3026285,посёлок,Вожский,Удорский район,Республика Коми,Komi-Zyrian,NA
Возей,0,66.4720377,57.2055154,посёлок,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,NA
Войвож,3387,62.8935238,54.9635196,пгт,Войвож,Сосногорск,Республика Коми,Komi-Zyrian,NA
Волоковая,NA,66.4832892,48.2428743,NA,NA,Заполярный район,Республика Коми,Komi-Zyrian,Iźva
Волокпом,25,60.9592169,50.2219357,деревня,Пыёлдино,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Волосница,20,61.7202324,57.16666,деревня,Куръя,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Воль,15,61.1451311,54.3628849,деревня,Нижний Воч,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Вольдино,256,62.2622255,54.186396,село,Вольдино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Вомын,8,62.195123,49.9375675,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Вомын,8,61.939872,52.5561905,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Вомынбож,142,61.9741832,54.303114,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Воргашор,12044,67.5811893,63.7837371,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Воркута,70548,67.4949564,64.0400985,город,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Восяхово,NA,65.5754899,64.5995482,NA,NA,Шурышкарский район,Ямало-Ненецкий автономный округ,Komi-Zyrian,NA
Вуктыл,12356,63.8443363,57.3001716,город,Вуктыл,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Вухтым,755,60.4524071,49.6587993,посёлок,Вухтым,Прилузский район,Республика Коми,Komi-Zyrian,NA
Выльвидз,NA,63.964116,47.1640628,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Выльгорт,491,61.6270011,50.7684768,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Выльгорт,491,62.2070346,54.1715066,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Выльгорт,491,64.0604705,46.9982379,деревня,Помоздино,Усть-Куломский район,Республика Коми,Komi-Zyrian,Udora
Выльгорт,29,62.2070346,54.1715066,деревня,Большая Пучкома,Удорский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Выльтыдор,622,61.6644257,50.9365691,посёлок,NA,Городской округ Сыктывкар,Республика Коми,Komi-Zyrian,Prisyktyvkar
Выльыб,226,62.1504449,52.4679707,деревня,Большелуг,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Высокая Гора,0,65.4603419,52.1604561,деревня,Усть-Цильма,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Габово,23,60.9779137,53.7412165,деревня,Дзёль,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Гавриловка,98,61.9933882,50.4899342,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Гагшор,156,60.790593,50.1886295,село,Гагшор,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Гажакерес,32,62.1699826,50.204275,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Гажаяг,58,63.2013003,54.4983525,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Гам,514,64.9842863,53.8032386,деревня,Мохча,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Гам,514,62.1186483,49.6880666,деревня,Мохча,Ижемский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Гамлакост,9,62.1234878,49.7864601,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Гарево,64,65.4311506,52.3484317,деревня,Коровий Ручей,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Гаръя,437,61.3699545,50.5980323,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Гарьинский,331,61.3791315,50.6066229,посёлок,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Глотово,293,63.4815067,49.4809588,село,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Гобаново,9,62.1776882,49.9019942,деревня,Айкино,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Гостиногорка,74,59.6856895,49.4104502,деревня,Летка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Граддор,27,61.5558086,50.7858192,деревня,Шошка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Грива,363,60.582292,50.8821414,село,Грива,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Гуж,2,60.3531954,51.361559,посёлок,Кажым,Койгородский район,Республика Коми,Komi-Zyrian,NA
Гурьевка,314,59.4219131,49.61206,село,Гурьевка,Прилузский район,Республика Коми,Komi-Zyrian,Luza-Letka
Гыркашор,70,60.2122546,49.7149265,посёлок,Чёрныш,Прилузский район,Республика Коми,Komi-Zyrian,NA
Гэрдъёль,71,63.4943527,53.2534569,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Даниловка,163,64.7030685,57.8663674,деревня,Приуральское,Печора,Республика Коми,Komi-Zyrian,Pechora
Дань,56,61.3790753,51.7950866,деревня,Мордино,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Денисовка,494,66.2067263,55.4324305,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Деревянск,796,61.7582483,53.3270038,село,Деревянск,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Дзёль,184,60.891161,53.6608245,село,Дзёль,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Диасёръя,426,62.3786012,53.7864327,посёлок,Диасёръя,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Диюр,623,65.2765459,53.3648289,деревня,Краснобор,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Додзь,189,61.7791695,51.3526344,село,Додзь,Корткеросский район,Республика Коми,Komi-Zyrian,Prisyktyvkar
Дон,464,61.6383447,53.8955314,село,Дон,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Дорожный,0,62.904566,55.0980069,посёлок,Войвож,Сосногорск,Республика Коми,Komi-Zyrian,NA
Дутово,957,63.7972885,56.6963297,село,Дутово,Вуктыл,Республика Коми,Komi-Zyrian,Pechora
Евдино,NA,63.0508964,50.8825973,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Vym
Ёдва,1428,63.0589486,48.8724957,посёлок,Ёдва,Удорский район,Республика Коми,Komi-Zyrian,NA
Елец,7,67.0481978,64.0599975,деревня,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Елецкий,631,67.0451526,64.216506,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Ёль,8,65.0230582,53.8226441,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Iźva
Ёлькыб,5,63.5994825,48.6985452,деревня,Кослан,Удорский район,Республика Коми,Komi-Zyrian,Udora
Емва,14570,62.5982973,50.8879269,город,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Еремеево,198,62.6271109,57.5486077,деревня,Приуральский,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Ёрмица,179,66.9145869,52.3342804,село,Ёрмица,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Ероздино,6,62.2540381,50.513708,деревня,Студенец,Усть-Вымский район,Республика Коми,Komi-Zyrian,Vym
Ёртом,244,63.5469733,47.8222161,село,Ёртом,Удорский район,Республика Коми,Komi-Zyrian,Udora
Жежим,127,61.6090391,54.2495779,деревня,Дон,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Жешарт,8561,62.0900176,49.5887892,пгт,пгт Жешарт,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Жуэд,20,61.355136,50.5867607,деревня,Пажга,Сыктывдинский район,Республика Коми,Komi-Zyrian,Middle Sysola
Загривочная,280,65.0913469,51.9455066,деревня,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Замежная,674,65.0431296,51.9733886,село,Замежная,Усть-Цилемский район,Республика Коми,Komi-Zyrian,NA
Заозерье,0,60.9086534,50.3006859,деревня,Заозерье,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Заречье,5,62.2029277,50.0294653,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Захарвань,378,66.3340767,55.8691929,деревня,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Зеленец,2943,61.8819411,50.744747,село,Зеленец,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Зеленоборск,433,64.479721,55.2944005,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Зимовка,294,60.5646653,50.5738376,посёлок,Подзь,Койгородский район,Республика Коми,Komi-Zyrian,NA
Зимстан,1458,61.2603007,53.8630928,посёлок,Зимстан,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Злоба,6,62.667335,50.9089497,деревня,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Знаменка,291,61.9694764,56.8571688,посёлок,Знаменка,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Зулэб,103,62.1878861,52.4606244,деревня,Большелуг,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Зэрзяыб,13,63.6677944,49.4186153,деревня,Глотово,Удорский район,Республика Коми,Komi-Zyrian,Udora
Иван-Ёль,0,63.3542941,54.3819802,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,NA
Ивановка,221,61.9978733,50.4541495,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Ивановка,221,62.3103027,52.8790487,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ивановка,221,59.2899135,49.6442253,деревня,Палевицы,Сыктывдинский район,Республика Коми,Komi-Zyrian,Luza-Letka
Ивановская,53,62.1094494,52.4893975,деревня,Большелуг,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Ижма,3753,65.0086914,53.908282,село,Ижма,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Изваиль,38,63.0340061,54.4723322,деревня,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,NA
Изъюр,6,63.4198467,53.9978261,посёлок,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Изъяю,1323,65.1074514,56.9915761,пгт,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Илья-Шор,480,62.2187283,49.7852137,посёлок,Илья-Шор,Усть-Вымский район,Республика Коми,Komi-Zyrian,NA
Индига,NA,67.658341,49.0174132,NA,NA,NA,NA,Komi-Zyrian,NA
Инта,32080,66.0397515,60.1315804,город,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Иоссер,217,62.9972065,52.1863924,посёлок,Иоссер,Княжпогостский район,Республика Коми,Komi-Zyrian,NA
Ипа,8,62.1347844,50.2234253,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Ипатово,49,61.8563355,50.049387,деревня,Слудка,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Ираёль,750,64.4107233,55.1943729,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,NA
Исанево,132,60.9977498,50.342228,посёлок,Заозерье,Сысольский район,Республика Коми,Komi-Zyrian,Middle Sysola
Каджером,1831,64.6946435,55.9265872,посёлок,Каджером,Печора,Республика Коми,Komi-Zyrian,NA
Казлук,600,62.1059506,49.3347087,посёлок,Межег,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Казым,NA,63.7037644,67.2382353,NA,NA,Белоярский район,Ханты-Мансийский автономный округ – Югра,Komi-Zyrian,NA
Каменка,NA,67.489744,51.8880311,NA,NA,NA,NA,Komi-Zyrian,NA
Камсамас,11,62.1462368,49.851568,деревня,Гам,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Канава,27,61.1181298,55.0368844,деревня,Югыдъяг,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Каневка,NA,67.1281071,39.6696852,NA,NA,Ловозерский район,Мурманская область,Komi-Zyrian,Iźva
Карвуджем,4,60.5780739,50.7850669,деревня,Грива,Койгородский район,Республика Коми,Komi-Zyrian,NA
Картаёль,335,64.5270083,53.3245983,деревня,Том,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Катравож,NA,66.3239306,66.0778465,NA,NA,Приуральский район,NA,Komi-Zyrian,NA
Катыдпом,15,62.7871545,50.7057378,деревня,Палауз,Сысольский район,Республика Коми,Komi-Zyrian,Vym
Кебанъёль,1684,61.7192847,53.7114062,посёлок,Кебанъёль,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кедвавом,228,64.2262578,53.5662017,село,NA,Городской округ Ухта,Республика Коми,Komi-Zyrian,Iźva
Кедровый Шор,223,64.8890255,57.6167383,посёлок,Озёрный,Печора,Республика Коми,Komi-Zyrian,Pechora
Кекур,378,61.9675752,54.3784596,деревня,Пожег,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кельчиюр,399,65.2761941,52.9883937,село,Кельчиюр,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Керес,319,61.8698735,52.6618993,село,Керес,Корткеросский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Керес,319,62.7159609,50.9121086,село,Керес,Корткеросский район,Республика Коми,Komi-Zyrian,Vym
Керки,689,63.7324896,54.2032926,посёлок,Сосногорск,Сосногорск,Республика Коми,Komi-Zyrian,Iźva
Керчомъя,1043,61.4723127,53.9200777,село,Керчомъя,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Кипиево,773,65.6612198,54.5135084,село,Кипиево,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Климовск,12,61.2857182,53.6475272,деревня,Зимстан,Усть-Куломский район,Республика Коми,Komi-Zyrian,Upper Ezhva
Княжпогост,114,62.602406,50.8515368,село,Емва,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Кобра,NA,60.0417729,50.7922452,NA,NA,NA,Республика Коми,Komi-Zyrian,Upper Sysola
Кодач,13,63.1654742,55.8655978,деревня,Митрофан-Дикост,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Кожва,3047,65.1054024,57.0504324,пгт,Кожва,Печора,Республика Коми,Komi-Zyrian,Iźva
Кожмудор,267,62.1423639,50.2748651,село,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Кожым,10,65.7354798,59.5239389,пгт,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Кожымвом,1,65.7941907,59.3178396,деревня,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Коздинга,NA,63.698009,47.6556036,NA,NA,Удорский район,Республика Коми,Komi-Zyrian,Udora
Козловка,10,62.7768223,50.7037351,деревня,Шошка,Княжпогостский район,Республика Коми,Komi-Zyrian,Vym
Койгородок,2940,60.4408233,51.0048762,село,Койгородок,Койгородский район,Республика Коми,Komi-Zyrian,Upper Sysola
Койтыбож,103,61.8620633,50.7309267,деревня,Зеленец,Сыктывдинский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Койю,319,64.3495144,53.6571893,посёлок,Том,Ижемский район,Республика Коми,Komi-Zyrian,Iźva
Коквицы,79,62.1464673,50.3806937,деревня,Кожмудор,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
Колва,346,65.9665512,57.3614862,село,NA,Городской округ Усинск,Республика Коми,Komi-Zyrian,Iźva
Ком,46,60.2659822,51.1746572,посёлок,Ком,Койгородский район,Республика Коми,Komi-Zyrian,NA
Комаю,0,65.7845038,59.4786664,посёлок,NA,Городской округ Инта,Республика Коми,Komi-Zyrian,NA
Комсомольск-на-Печоре,933,62.1357974,56.6030949,посёлок,Комсомольск-на-Печоре,Троицко-Печорский район,Республика Коми,Komi-Zyrian,Pechora
Комсомольский,1047,67.5536938,63.7759542,пгт,NA,Городской округ Воркута,Республика Коми,Komi-Zyrian,NA
Конашъёль,71,63.4075691,55.7909617,посёлок,Нижний Одес,Сосногорск,Республика Коми,Komi-Zyrian,Pechora
Конец-Озерье,4,62.1821887,50.2509259,деревня,Усть-Вымь,Усть-Вымский район,Республика Коми,Komi-Zyrian,Lower Ezhva
